"","Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score"
"253","FLATHEAD MT",8.1295,3.33333333333333,0.648,4,0.94,9.36923076923077,18547,13.6,52.5
"254","FLORENCE SC",12.4178571428571,3,0.731625,2.66666666666667,0.97,10.49375,16818,13.1,48.5
"255","FLOYD KY",2.347,3.5,0.8382,3,0.95,10.0416666666667,18744.6666666667,14.1,50.8
"256","FORD KS",2.564,2,0.5575,3,0.89,3.8,18668,14.4,50
"257","FORREST MS",18.0118181818182,3,0.572538461538462,2.5,1,12.1545454545455,20594,13.9,57.5
"258","FORSYTH GA",15.6518181818182,4,0.576875,3,0.95,11.6166666666667,19005,14.8,47
"259","FORSYTH NC",10.8758064516129,3.33333333333333,0.7551,3.66666666666667,0.95,11.1833333333333,18372.75,13.9,50
"260","FORT BEND TX",7.7742,3.2,0.662357142857143,3.5,1.064,12.865,20532.25,13.675,53.4285714285714
"261","FRANKLIN AL",2.522,4,0.202666666666667,3,1.03,19.1166666666667,18871.5,15.3,52
"262","FRANKLIN CITY VA",2.314,3,0.87,3,0.85,6.575,17461.5,14.6,53
"263","FRANKLIN KY",2.35,3,0.399833333333333,3,0.97,3.075,20268,14.4,50.5
"264","FRANKLIN MA",2.478,3,0.627,3,0.9,4.5,18867,14.4,51
"265","FRANKLIN ME",2.218,4,0.115,3,0.95,10.84,17662.5,14.9,57.5
"266","FRANKLIN MO",14.0009090909091,3,0.880166666666667,4,0.92,10.6727272727273,19318.6666666667,14.4,52.75
"267","FRANKLIN NY",2.539,3.5,0.4425,3.5,0.825,9.72222222222222,18124.5,14.25,53.5
"268","FRANKLIN OH",13.39,3.25,0.671203703703704,3,0.98625,8.95641025641026,19117.8461538462,14.9333333333333,54.1666666666667
"269","FRANKLIN PA",8.61894736842105,3.5,0.854333333333333,3.5,0.89,7.02727272727273,18960.5,13.4,53.5
"270","FRANKLIN TN",13.3027272727273,3,0.2084,2,0.94,10.05,20066,14.9,51.75
"271","FRANKLIN VT",2.582,4,1.8385,2,0.98,7.41666666666667,18202.5,15.3,43
"272","FREDERICKSBURG CITY VA",13.0863636363636,2,0.617857142857143,2,1,1.65,20570,14,56.5
"273","FREEBORN MN",2.398,3,1.02125,4,0.86,9.46666666666667,17901.5,15.9,54.5
"274","FREMONT WY",2.793,2,0.344,3,0.88,7.1,18478.5,14.1,46.25
"275","FRESNO CA",10.8582089552239,3,0.85795,2.71428571428571,0.91875,5.47,19525.7142857143,13.9666666666667,55
"276","FULTON GA",14.8935135135135,2.85714285714286,0.948653846153846,2.42857142857143,0.978571428571429,8.32051282051282,18843.0714285714,14,54
"277","FULTON NY",1.4975,4,0.222,3,0.95,6.4,18061.5,14.5,54
"278","GALAX CITY VA",2.265,3,0.193666666666667,2,0.97,11.42,18242,15.6,51
"279","GALLIA OH",14.525,3,1.0638,2,1.07,9.66666666666667,21436.5,16,56.3333333333333
"280","GARFIELD OK",13.9995454545455,3.5,0.504916666666667,4,0.955,15.2363636363636,19044.25,14.05,53.5
"281","GARLAND AR",15.9763636363636,3,1.08328571428571,2,1.005,15.99,18729,14.85,57
"282","GASTON NC",13.0854545454545,3,0.536375,4,0.95,9.6,19137.5,13.3,52.5
"283","GENESEE NY",2.19,3,0.742,3,0.94,6.86666666666667,18406,14.5,58
"284","GEORGETOWN SC",14.6304545454545,3.5,0.820636363636364,3,0.945,16.475,19761,13.55,49.8
"285","GILA AZ",2.1,2.5,0.6295,3,0.93,9.35555555555556,18411,12.7,52.75
"286","GILES TN",1.31285714285714,3,0.285,4,1,2.775,19777,13.7,51
"287","GLOUCESTER NJ",15.8209090909091,3,0.421428571428571,3,1.03,5.12,19536,14.4,44.5
"288","GLOUCESTER VA",1.42666666666667,4,0.0975,4,0.87,8.28333333333333,18435.5,14.2,52.5
"289","GLYNN GA",15.2627272727273,4,0.688,2,0.95,11.9666666666667,18597,14.9,75
"290","GORDON GA",2.063,4,0.661857142857143,5,0.92,13.0166666666667,18549.5,13.4,52.5
"291","GRAFTON NH",12.89,3.5,0.706272727272727,3.4,1.02,6.89090909090909,17402.75,11.6,54
"292","GRAND FORKS ND",14.6090909090909,3,0.339857142857143,3,0.97,10.3,19774,16.4,100
"293","GRANT IN",14.3627272727273,3,1.0552,4,1.05,11.06,20341.5,12.9,44
"294","GRANT WA",2.499,3,0.522666666666667,3,0.89,9.66,17358.5,15.1,46.5
"295","GRANVILLE NC",15.015,4,0.5312,3,0.92,5.175,18097.5,15,56.5
"296","GRATIOT MI",2.425,3,0.176,3,0.99,12.5666666666667,18701,14.8,48.3333333333333
"297","GRAVES KY",1.15125,3,0.398,3,1.05,8.15,19682,14.8,43.6666666666667
"298","GRAY TX",2.321,3,0.335,3,0.98,9.85,18498.5,13.4,54.5
"299","GRAYS HARBOR WA",2.46,3,0.3825,2.5,0.93,3.075,17950,14,51.6666666666667
"300","GRAYSON TX",11.3572413793103,3.66666666666667,0.642533333333333,2.5,1.03666666666667,16.9769230769231,20396.25,13.35,83
"301","GREENBRIER WV",2.152,3,0.607714285714286,3,0.95,10.5833333333333,17769.5,16.3,53.75
"302","GREENE AR",1.43222222222222,3,0.5135,2,1.01,20.55,19413,16.7,45
"303","GREENE MO",12.2665517241379,3,0.5630625,3,0.96,12.54375,18536.25,13.7,8.5
"304","GREENE OH",2.07,4,0.518909090909091,3.5,1.02,4.03333333333333,19383.3333333333,13.3,54.6666666666667
"305","GREENE TN",9.1745,3,0.179,3,0.955,12.4444444444444,17126.3333333333,13.5,53.2
"306","GREENVILLE SC",7.209,4,0.642346153846154,4.33333333333333,0.951666666666667,8.92333333333333,18659.8571428571,12.5,52.2857142857143
"307","GREENWOOD SC",17.7109090909091,4,0.824625,3,1.04,12.3833333333333,18915.5,15.5,100
"308","GREGG TX",11.2896153846154,3,0.9232,3.5,1.015,13.1166666666667,18869.75,13.2,48
"309","GRENADA MS",2.5,2,0.164833333333333,2,1,12.2,18688,14,54
"310","GUADALUPE TX",1.42777777777778,4,0.4262,3,1.15,10.8,20669,15.4,50
"311","GUERNSEY OH",15.4372727272727,4,0.400166666666667,3,0.94,7.14,19708.5,14.3,56.6666666666667
"312","GUILFORD NC",14.4881818181818,3,0.4978125,4,0.975,8.425,17934.75,13.2,69.3333333333333
"313","HALIFAX NC",2.268,3,0.4515,3,0.96,9.15,18983,13.3,50
"314","HALIFAX VA",14.8918181818182,3,0.774,3,0.91,11.0166666666667,17333.5,14.8,53.5
"315","HALL NE",16.0563636363636,3,0.491142857142857,3,0.99,5.43333333333333,19819,13.3,50.5
"316","HAMBLEN TN",8.72380952380952,2.5,0.252222222222222,1.5,1.055,9.825,17920.25,14.65,49
"317","HAMILTON IN",9.17351851851852,4.16666666666667,0.760652173913043,4,1.01666666666667,10.4545454545455,18887.1428571429,13.7666666666667,56.1428571428571
"318","HAMILTON OH",12.1113253012048,3.125,0.729018181818182,3.57142857142857,0.9875,10.5142857142857,20439.7142857143,13.7142857142857,53.1666666666667
"319","HAMILTON TN",14.269696969697,3,0.810260869565217,2.66666666666667,0.993333333333333,10.1176470588235,19881,15.4333333333333,48.25
"320","HAMPDEN MA",10.8424489795918,3,1.20304166666667,3.2,1.034,6.03076923076923,18954.5555555556,13.4,54.5384615384615
"321","HAMPSHIRE MA",9.18,3,0.709285714285714,3.5,1.02,7.4,18080.6666666667,13.8,52.5
"322","HAMPTON CITY VA",15.2027272727273,4,0.841,3,0.95,12.0166666666667,18848,16.5,68.6666666666667
"323","HANCOCK IN",2.384,4,0.897,3,1.01,13.52,18847,13.4,50
"324","HANCOCK ME",1.75090909090909,4.5,1.262,3.66666666666667,0.92,7.95,17331.5,13.2,53.6666666666667
"325","HANCOCK MS",1.14142857142857,2,0,2,0.97,6.14,19029,14.6,56
"326","HANCOCK WV",13.6754545454545,2,0.982142857142857,3,1.06,14.0833333333333,22475,14.6,50.5
"327","HARDIN KY",12.25,3,0.566625,4,0.96,10.7666666666667,18179,14.7,53.5
"328","HARDIN TN",2.40625,4,0.3285,3,0.97,11.12,18060,13.9,50
"329","HARLAN KY",1.19625,3,0.14475,2,0.89,22.58,18427.5,16.3,50.5
"330","HARNETT NC",2.142,3,0.371,3,0.92,7.34,19510,14.6,54.5
"331","HARRIS TX",10.7602769230769,2.93548387096774,0.651768844221105,3.20689655172414,1.07484848484848,12.1611111111111,21185.1538461538,14.188,52.0769230769231
"332","HARRISON KY",1.25,4,1.26,4,1.01,4.7,20145,14.3,49
"333","HARRISON MS",16.8381818181818,2.66666666666667,0.39447619047619,2.33333333333333,1.02,17.5375,19254.8,15,51.6666666666667
"334","HARRISON TX",2.294,3,0.28775,3,1.04,5,17865.5,13.5,76.3333333333333
"335","HARRISON WV",14.2381818181818,3,0.711571428571429,4,0.96,11.9333333333333,18708.5,14.7,69
"336","HARRISONBURG CITY VA",12.7136363636364,3,0.599571428571429,3,0.94,10.2333333333333,20195.5,14.4,94
"337","HARTFORD CT",14.1964788732394,3,0.72,2.5,1.02428571428571,7.30909090909091,20432.5,13.75,53.5714285714286
"338","HARVEY KS",15.3227272727273,4,0.940333333333333,4,0.92,9.61666666666667,19648.5,14.1,53.5
"339","HAWAII HI",1.3692,3,0.469,3,0.876666666666667,11.1,16102.75,14.7,52.125
"340","HAYWOOD NC",13.8818181818182,3,0.0856666666666667,3,0.92,11.15,17745,13.4,54.6666666666667
"341","HEMPSTEAD AR",0.648,3,0.2525,3,1,6.76666666666667,17012,14.1,57
"342","HENDERSON KY",2.002,3,1.00733333333333,4,1.04,6.82,19661,16.3,49.5
"343","HENDERSON NC",13.3152380952381,4,0.827363636363636,3.5,0.985,12.8909090909091,19808.75,13.8,52
"344","HENDERSON TX",2.117,2,0.2038,2,1.04,12.7833333333333,19392,13.3,46
"345","HENDRICKS IN",13.4504545454545,4,0.597,4.5,0.995,12.3666666666667,19233.5,13.55,48
"346","HENNEPIN MN",11.6969620253165,3.28571428571429,0.787705882352941,3.42857142857143,0.925714285714286,6.6625,19235.7692307692,13.1833333333333,48
"347","HENRY IN",2.284,4,0.354333333333333,4,0.95,13.5166666666667,16525,14.8,41
"348","HENRY MO",1.33222222222222,3,0.115,4,0.95,10.8,18392,12.9,50
"349","HENRY TN",12.8581818181818,4,0.3315,3,1.02,12.1,17702,15,48
"350","HENRY VA",11.9254545454545,2,0.329714285714286,3,0.96,9.23333333333333,19708.5,13.9,48.75
"351","HERNANDO FL",13.0386363636364,2,0.929266666666667,2,1.045,10.3,19909.75,14.4,48.3333333333333
"352","HERTFORD NC",2.429,3,1.21833333333333,3,0.89,4.26,18283,14.5,56.5
"353","HIDALGO TX",11.5791803278689,2.66666666666667,0.813485714285714,3.4,0.985,8.084,20954,13.68,54
"354","HIGHLANDS FL",13.3527272727273,2.5,0.552,2.5,1.02,14.2222222222222,20834.75,13.5,5
"355","HILLSBOROUGH FL",13.7742857142857,2.66666666666667,0.754723076923077,2.33333333333333,1.03444444444444,6.22051282051282,20034.8666666667,13.6666666666667,51.25
"356","HILLSBOROUGH NH",13.9171111111111,3.4,0.876931034482759,3.8,1.0075,10.0633333333333,19829.4,12.82,50.5
"357","HILLSDALE MI",1.42888888888889,3,0.036,4,0.98,8.98333333333333,19426,14.4,52
"358","HINDS MS",15.9188636363636,3.5,0.734375,2.25,1.0225,10.1041666666667,18796.875,15.45,97
"359","HONOLULU HI",12.6648571428571,3.57142857142857,0.490591836734694,3.42857142857143,0.888571428571429,8.87666666666667,18411.9285714286,14.6571428571429,58.7142857142857
"360","HOOD TX",2.089,2,0.345,3,1.05,15.4333333333333,18925,15.3,57
"361","HOPEWELL CITY VA",1.49444444444444,3,0.4638,2,0.97,15.66,19725.5,15,43
"362","HOPKINS TX",1.45333333333333,3,0.24525,3,1.02,8.72,21132,16,45
"363","HORRY SC",15.419696969697,3.33333333333333,0.597409090909091,3.33333333333333,0.936666666666667,9.56666666666667,19176.1666666667,13.9333333333333,47.6
"364","HOUGHTON MI",2.75272727272727,4.5,0.1565,3.5,0.91,5.44444444444444,17631.5,14.65,51.75
"365","HOUSTON AL",18.3304545454545,3.5,1.06075,3.5,1.01,10.6333333333333,18275,14.75,92
"366","HOUSTON GA",8.57555555555555,3,0.355090909090909,3.5,0.915,13.6875,17259.6666666667,13.2,51.5
"367","HOWARD IN",14.7813636363636,3,0.6165,3.5,1.05,11.3,21659.25,14.1,62.75
"368","HOWARD TX",1.255,3,0.4315,2,1.04,7.6,19765,15,48.5
"369","HOWELL MO",13.8563636363636,3,0.4694,3,0.91,14.9833333333333,17217,15,100
"370","HUDSON NJ",11.5455172413793,2.16666666666667,0.486527777777778,1.83333333333333,1.085,7.956,20988.9166666667,13.5833333333333,56
"371","HUGHES SD",2.25,3,0.9865,4,0.85,5.74,15086,14.6,53.5
"372","HUMBOLDT CA",8.6885,2.5,1.04791666666667,3,0.875,7.94444444444444,15378,13.7,53.3333333333333
"373","HUNT TX",2.457,3,0.3325,2,1.14,19.5333333333333,21231,14.7,49.6666666666667
"374","HUNTINGDON PA",1.6,4,1.543,4,0.99,4.2,19014.5,14.1,63.3333333333333
"375","HURON MI",1.64222222222222,4,0,4,0.88,10.1083333333333,17616.5,13.9,51.6666666666667
"376","HURON OH",2.22181818181818,4.5,0.8295,4,0.92,5.82,19209.3333333333,14.7,54
"377","IMPERIAL CA",2.4755,2,0.9705,2,0.955,10.72,19103,15.05,100.285714285714
"378","INDEPENDENCE AR",16.8154545454545,3,1.00228571428571,2,0.99,12.05,20434.5,15.8,47.5
"379","INDIANA PA",2.229,3,0.449666666666667,3,0.99,9.525,19385.5,13.4,64.6666666666667
"380","IREDELL NC",10.03125,2.66666666666667,0.470176470588235,2.66666666666667,0.933333333333333,5.98666666666667,18279.5,14.4666666666667,49.1666666666667
"381","ISABELLA MI",1.30222222222222,3,0,4,0.92,7.35,19047,14.5,53
"382","JACKSON FL",2.837,4,0.300666666666667,3,1.03,13.2,17965,15.3,53
"383","JACKSON GA",1.34714285714286,2,0.2985,2,0.94,11.0333333333333,18464.5,13.9,48
"384","JACKSON IL",12.6409090909091,4,0.5713,3,1.02,10.0285714285714,19153,13.5,52
"385","JACKSON IN",1.909,4,0.644,5,0.96,11.08,17695.5,15.4,39.3333333333333
"386","JACKSON MO",10.7871739130435,3,0.678774193548387,3.11111111111111,0.945555555555556,10.0478260869565,18906.6875,13.9,52.1666666666667
"387","JACKSON NC",15.1054545454545,3,0.3526,2,0.95,17,15579,14.3,56.5
"388","JACKSON OK",2.223,4,0.299,3,0.87,22.2,18484.5,14.3,49.5
"389","JACKSON OR",10.514375,3.33333333333333,0.82375,3.33333333333333,0.913333333333333,7.06666666666667,17515.8,12.9,56
"390","JAMES CITY VA",8.0495,4,0.244333333333333,4,0.98,8.56666666666667,17529.3333333333,13.3,69.6666666666667
"391","JEFFERSON AL",15.2198780487805,3.42857142857143,0.774735849056604,2.71428571428571,1.00714285714286,13.2675675675676,18847.3571428571,14.4571428571429,58.3333333333333
"392","JEFFERSON AR",13.0727272727273,2,0.266625,2,1.07,15.15,18480.5,15.8,64.3333333333333
"393","JEFFERSON CO",11.1351724137931,3.66666666666667,0.669705882352941,3.66666666666667,0.95,3.71111111111111,20095.5,12.4,8
"394","JEFFERSON DAVIS LA",2.351,4,0.496,3,1.05,30.82,18975.5,14.9,49.5
"395","JEFFERSON IL",8.32428571428571,3.5,0.4809,2.5,0.975,4.71111111111111,17393.3333333333,17.5,37.6666666666667
"396","JEFFERSON IN",2.308,4,0.3044,4,0.95,12.8,20472.5,13.3,46
"397","JEFFERSON KY",16.8174418604651,2.75,1.05916129032258,2.5,1.005,10.7916666666667,19817.25,13.375,51.25
"398","JEFFERSON LA",15.4997727272727,3.25,0.962233333333333,3.25,0.9875,16.1136363636364,17434.625,14.05,54
"399","JEFFERSON NY",2.466,3,1.39757142857143,2,0.94,8.3,18457.5,15.8,52.3333333333333
"400","JEFFERSON PA",1.70125,4,0.1925,3.5,1.05,8.1,19072.75,14.45,51.25
"401","JEFFERSON TX",14.3354545454545,2.66666666666667,0.921045454545455,3,1.07666666666667,12.82,20463.5,15.0666666666667,67.1666666666667
"402","JERSEY IL",1.10142857142857,4,0,3,1.05,13.9,19274.5,14.5,52
"403","JIM WELLS TX",2.15111111111111,3,0.6782,3,1.09,21.5666666666667,20793.5,12.3,47
"404","JOHNSON AR",2.549,3,0.347,3,0.94,7.23333333333333,17347,15,49
"405","JOHNSON IN",1.33555555555556,4,0.201,4,1.05,6.075,20778,14.8,48.5
"406","JOHNSON KY",1.09857142857143,3,0.33975,3,0.92,6.75,18809.5,14.1,51.5
"407","JOHNSON MO",2.502,3,0.191,3,0.87,12.4,14454,14.3,54
"408","JOHNSON TX",7.77095238095238,3.5,0.202692307692308,4,1.055,5.9,19732,12.5,50.1666666666667
"409","JOHNSTON NC",14.7972727272727,4,0.738428571428571,3,0.96,12.0166666666667,19185,12.7,45.6666666666667
"410","JONES MS",13.4472727272727,3,0.837285714285714,1,0.91,6.575,18322.5,14,49.6666666666667
"411","JOSEPHINE OR",14.1872727272727,3,0.156428571428571,3,0.88,10.6666666666667,17114.5,14.1,52.3333333333333
"412","KANAWHA WV",13.7651515151515,3,0.6482,3.33333333333333,0.94,10.5875,19787.6666666667,13.7666666666667,63
"413","KAUAI HI",2.307,3.5,1.06,3.5,0.87,2.33333333333333,17787,14.8,55.75
"414","KAY OK",1.79823529411765,3,0.8214,3.5,1,9.38571428571429,16780,13.9,52.5
"415","KENNEBEC ME",8.02190476190476,4,0.5914,4,0.97,2.35,18731.5,16.2,53.5
"416","KENOSHA WI",14.6586363636364,3.5,0.482642857142857,3.5,0.98,10.1833333333333,19666,14.85,59.5
"417","KENT MI",13.0945454545455,3.66666666666667,0.937695652173913,3.66666666666667,0.95,10.3555555555556,18702.1666666667,14.2,53.25
"418","KENT RI",15.8436363636364,3,1.34342857142857,3,1,4.12,19079,12.2,62
"419","KENTON KY",13.7045454545455,3,0.507125,4,1.03,9.7,20066,10.9,52.5
"420","KERN CA",10.9154285714286,1.875,0.812571428571429,1.875,0.99,8.06538461538462,19364.9,14.775,49.3333333333333
"421","KERR TX",13.082,4,1.0075,3,1.06,10.5333333333333,19638.5,14.6,50.25
"422","KERSHAW SC",2.655,3,1.1175,4,0.98,10.1166666666667,18911,12.8,53.6666666666667
"423","KING WA",14.6693617021277,3.07142857142857,0.964258064516129,3.21428571428571,0.961538461538462,9.19466666666667,19210.962962963,14.5461538461538,60.35
"424","KINGS CA",15.3683333333333,1.5,0.93325,2,0.89,22.04,18046,15.8,57.3333333333333
"425","KINGS NY",11.4009166666667,1.69230769230769,1.0681847826087,1.46153846153846,1.02230769230769,6.48292682926829,19512.1538461538,13.8076923076923,64.2727272727273
"426","KLAMATH OR",14.6918181818182,3,1.229,3,0.83,11.0166666666667,18534.5,14.7,79
"427","KNOX IL",2.371,3.5,0.664285714285714,3,1.02,7.98,18515.5,15.75,56
"428","KNOX IN",13.4,4,1.14828571428571,3,1.07,16.2166666666667,19397,13.1,50.5
"429","KNOX KY",12.6627272727273,3,0.506,3,0.96,10.6888888888889,17578,14.4,49.5
"430","KNOX ME",2.332,4,0.7855,3,0.91,3.16,17768.5,12.8,52.25
"431","KNOX OH",1.929,3,0.2805,3,0.99,12.7166666666667,18936,14.9,51
"432","KNOX TN",15.3147727272727,3.5,0.8699375,3,0.9725,10.7666666666667,19243.125,14.625,67.3333333333333
"433","KOSCIUSKO IN",1.55333333333333,3,0.0855,3,0.98,7.68,19147.5,15.2,52
"434","LA SALLE IL",1.87263157894737,4,0.99175,3.66666666666667,0.935,8.17058823529412,16910,14.75,55.5714285714286
"435","LACKAWANNA PA",16.8548484848485,2.66666666666667,0.668954545454545,1.66666666666667,1.10666666666667,9.2375,20436.3333333333,15.0666666666667,64.5
"436","LAFAYETTE LA",9.97710144927536,4.28571428571429,0.963266666666667,3.5,0.994285714285714,13.1909090909091,19639.25,15.95,70.3333333333333
"437","LAFAYETTE MS",13.0136363636364,3,0.890125,4,0.96,6.96,18954,12.6,68.3333333333333
"438","LAFOURCHE LA",15.0936363636364,4.33333333333333,0.853777777777778,3.66666666666667,0.98,10.1,17292.25,14.5,51.5
"439","LAKE FL",15.3975757575758,2.66666666666667,0.844545454545454,2.33333333333333,1.00666666666667,6.9625,20034,14.6,49
"440","LAKE IL",11.9023214285714,3.2,0.802878787878788,4,1.006,11.3481481481481,20789.25,13.575,48.25
"441","LAKE IN",11.878125,3.44444444444444,0.677673076923077,3.44444444444444,1.06222222222222,11.369387755102,20073.1875,14.4571428571429,97
"442","LAMAR TX",18.1227272727273,3,0.681428571428571,3,1.04,3.65,20791,14.3,100
"443","LANCASTER PA",11.9068292682927,3,0.541814814814815,3.25,0.9875,11.05,19083.8571428571,13.1333333333333,54
"444","LANCASTER SC",2.38,3,0.5682,2,0.95,4.15,18345.5,14.6,55.3333333333333
"445","LANE OR",12.3357142857143,2.75,0.348777777777778,2.8,0.856666666666667,4.4,16533.8333333333,14.5,54.1666666666667
"446","LAPEER MI",11.8990909090909,2,0.585714285714286,3,0.93,10.75,21606,11.8,45
"447","LARIMER CO",10.530625,4,0.6346,3.66666666666667,0.9425,10.2904761904762,18820.3333333333,14.5666666666667,58
"448","LAUDERDALE MS",12.2167857142857,3,0.772117647058824,2.5,1.10333333333333,13.1666666666667,19589.25,14.1,94
"449","LAUREL KY",16.0754545454545,3,0.572833333333333,3,0.92,11.2333333333333,18880.5,13.3,46.5
"450","LAURENS GA",15.2854545454545,4,0.593571428571429,4,0.94,3.24,19720,13.1,51.5
"451","LAWRENCE AL",0.664,3,0.6905,4,0.88,6.375,15980,14.5,48.5
"452","LAWRENCE PA",8.73166666666667,2.5,0.612888888888889,3,1.025,12.4444444444444,18925.3333333333,12.4,50.75
"453","LEA NM",1.4,3.5,0,3,0.91,10.1444444444444,18234.3333333333,14.1,51.6666666666667
"454","LEE AL",15.5,4,0.779625,4,0.9,12.7,17940.5,15.5,49
"455","LEE FL",10.8240476190476,2.25,0.745037037037037,2,1.0375,12.7473684210526,20342.5,13.575,50.4444444444444
"456","LEE IA",1.94411764705882,4,0.591,3,0.89,12.2666666666667,18017.75,14.5,51
"457","LEE NC",16.329,3,0.182166666666667,2,0.92,1.98,18880,15.2,43.3333333333333
"458","LEFLORE MS",15.3254545454545,2,0.233333333333333,2,1.02,12.04,18542.5,15,50.5
"459","LEHIGH PA",11.5789361702128,3.8,0.709086956521739,3.2,0.966,11.0190476190476,18933.5,13.1,55
"460","LENAWEE MI",2.42909090909091,3,0.240571428571429,3,0.94,5.7,17575.3333333333,14.9,67.3333333333333
"461","LENOIR NC",16.0136363636364,3,1.48571428571429,2,0.98,9.025,17695,13.4,51.5
"462","LEON FL",13.9831818181818,3,0.8020625,2.5,1.025,5.65,19553.5,15.9,53
"463","LETCHER KY",1.2175,4,0.076,3,0.85,15.48,18889.5,14.3,49.5
"464","LEWIS WA",14.3472727272727,3,0.447,3,0.89,9.26,17874.5,14.1,52.8
"465","LEWIS WV",1.46111111111111,3,0.3625,3,0.86,6.225,17183.5,15.6,50
"466","LICKING OH",13.402,3,0.191428571428571,3,0.97,9.48333333333333,17744,14.7,52
"467","LINCOLN LA",16.5763636363636,3,1.22266666666667,2,1.14,6.6,19331.5,15.4,2
"468","LINCOLN NC",13.9781818181818,4,0.375142857142857,4,1,11.9666666666667,18390,14.3,47
"469","LINCOLN NE",13.1081818181818,3,0.725,3,0.94,13,20015.5,12.8,54
"470","LITCHFIELD CT",8.64190476190476,3,0.816333333333333,2.5,0.985,7.35555555555556,19253,13,52.6
"471","LIVINGSTON MI",1.13142857142857,4,0.21425,4,0.79,9.25,20019,13.5,47
"472","LOGAN KY",1.06857142857143,3,0,3,0.94,4.725,18581,13.3,50.5
"473","LOGAN OH",2.554,4,1.31366666666667,3,1.07,6.275,19748.5,13.1,50
"474","LOGAN WV",2.44,2,0.3495,3,0.94,9.55,17985,14.4,47.25
"475","LORAIN OH",13.6913043478261,3.33333333333333,0.710428571428571,3.33333333333333,1.055,8.46428571428571,19573,13.4,51.5
"476","LOS ANGELES CA",10.1275310344828,2.29166666666667,0.82175,2.93243243243243,1.06324675324675,6.69954751131222,20761.7118644068,13.0127272727273,51.5051546391753
"477","LOUDOUN VA",14.0945454545455,3,0.555428571428571,3,0.96,9.23333333333333,17898,15.5,54.5
"478","LOWNDES MS",13.5890909090909,3,0.19025,3,0.99,13.92,20247.5,15.5,67
"479","LUCAS OH",12.9283908045977,3,0.578345454545454,3.375,1.025,7.7,20296.25,14.05,52.6363636363636
"480","LUZERNE PA",15.6527272727273,3,0.952904761904762,3,1.09333333333333,10.7277777777778,20513.8333333333,14.5333333333333,54.6666666666667
"481","LYCOMING PA",14.1136363636364,4,0.459,4,0.99,9.56363636363636,16401.25,13.9,51
"482","MACOMB MI",13.0462162162162,2,0.561434782608696,2,1.01333333333333,11.6529411764706,20335.5,13.4333333333333,54.75
"483","MACON IL",14.6777272727273,3,0.645785714285714,2.5,0.97,11.65,18456.25,14.8,100
"484","MADERA CA",2.245,2,0.0335,2,0.94,4.7,17479.5,13.9,77
"485","MADISON IL",10.5979545454545,3.4,0.32808,3,0.965,9.012,19417.1111111111,15.425,51.1111111111111
"486","MADISON IN",14.5386363636364,3.5,0.680066666666667,3.66666666666667,1.02,11.28,18888.8,13.95,49.625
"487","MADISON KY",12.2618181818182,3.5,0.3742,3.5,0.98,5.93636363636364,18444,14.2,46.6666666666667
"488","MADISON TN",15.8068181818182,3,0.4052,3,1.045,7.45454545454546,18737.75,11.95,53
"489","MAHONING OH",7.83833333333333,3,0.48404,2.5,1.04,9.7,20239.6666666667,15.3,50.4
"490","MANASSAS CITY VA",14.4081818181818,2,0.778142857142857,2,1.02,11.38,19900.5,15.8,50
"491","MANITOWOC WI",1.87894736842105,3.5,0.844666666666667,4,0.94,4.5125,18944,15.2,45.3333333333333
"492","MARATHON WI",14.4763636363636,3.5,0.615214285714286,3,0.935,7.6375,19853.5,14.15,100
"493","MARICOPA AZ",11.2754952076677,3.03125,0.701091370558376,3.22222222222222,0.9675,6.35754716981132,20631.8125,13.8041666666667,50.3125
"494","MARINETTE WI",2.147,3,0.55175,4,0.91,10.3,18805.5,13.9,50
"495","MARION IL",2.498,4,0.2434,3.5,0.96,11.4625,17400,13.8,52
"496","MARION IN",13.2788043478261,3.375,0.910309090909091,3.5,0.992222222222222,11.6809523809524,19403.6428571429,14.3714285714286,47.8333333333333
"497","MARION MO",13.1172727272727,3,0.48325,3,0.92,11.4,18385,12.6,93
"498","MARION OH",13.5490909090909,3,0.26025,3,0.97,9.35,19690,12.9,52
"499","MARION OR",6.34586206896552,3.33333333333333,0.579454545454545,3,0.893333333333333,7.70833333333333,18263.5,13.7,51.4285714285714
"500","MARION SC",1.185,2,0.0623333333333333,2,0.86,2.3,16205.5,13.4,52
"501","MARION WV",2.42555555555556,2,0.692,2,0.96,19.26,19631,13.4,55.5
"502","MARQUETTE MI",14.7616666666667,4,0.664142857142857,3.5,1.02,11.5,17377.3333333333,14.1,46.3333333333333
"503","MARSHALL AL",18.35,3,0.720428571428571,3,0.98,13.45,19773.5,16,55.5
"504","MARSHALL IN",1.57333333333333,3.5,0.8025,3,0.98,4.75,17975,13.8,55
"505","MARSHALL WV",1.41625,4,1.414,3,0.99,5.18,18573,15.6,51.5
"506","MARTIN FL",10.67,2,0.76725,2,1.05,10.5666666666667,20731,12.7,49
"507","MARTIN MN",2.52,3,0.579,3,0.75,6.2,19247,13.5,52.5
"508","MASON KY",12.3527272727273,3,1.0705,3,0.96,17.12,21285,13.4,52
"509","MASON WV",2.17888888888889,3,0.5185,3,0.92,12.3,17962.5,15.8,51.5
